Question,Answer
Information regarding weather of Amritsar?,"Mostly clear, no chance of rainfall."
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-15 TO 30MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING WEATHER OF AMRITSAR?,TODAY IS NO CHANCE OF RAIN.
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY AND SOME CHANCE OF RAIN TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"PUNJAB BASMATI-3,PUSA PUNJAB BASMATI-1509 ,PUSA BASMATI-1121 ,(JHONA)PR-121,PR-122,PR-123,PR-111,PR-113,PR-114,PR-114,PR-116,PR-118."
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY AND SOME CHANCE OF RAIN TODAY.
INFORMATION REGARDING WEATHER FORECAST?,NO CHANCE TO RAINFALL NEXT FEW DAYS
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY AND SOME CHANCE OF RAIN TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,"
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-123(NEW VARIETY-2014), PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY AND SOME CHANCE OF RAIN TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-123(NEW VARIETY-2014), PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,"Variably cloudy and not as hot; an isolated thunderstorm in the morning, then a thunderstorm or two"
Information regarding varieties of Paddy?,"PR-123, PR-111, PR-122, PR-121, PR-118."
HOW TO CONTROL RED BITTLE IN INDIAN SQUASH CROP ?,SPRAY TO LANNED @ 200ML IN 150 LITER OF WATER / ACRE.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER FORECAST?,NO CHANCE TO RAINFALL NEXT 7 DAYS
INFORMATION REGARDING FOR THE CONTROL OF JASSIDS IN BRINJAL(BAINGAN) CROP?,"FOR THE CONTROL OF JASSIDS IN BRINJAL(BAINGAN) CROP,PLS SPRAY ACETAMEPRIDE-150GM/ACRE IN 120 LITRE WATER."
INFORMATION REGARDING NURSERY TIME OF PADDY?,15-30 MAY IS SUITABLE TIME
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-123(NEW VARIETY-2014), PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-10 TO 25MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
information regarding weather ?,some clouds and no chances of rainfall .
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-15 TO 30MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE CONTROL OF TOBACCO CATTERPILLER ATTACK ON BLACK GRAM(MAH) CROP?,"FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON BLACK GRAM(MAH) CROP,PLS SPRAY 200ML NOVACULAN MIX WITH 120 LITRE WATER PER ACRE."
information regarding control of caterpiller in barseem?,spray of korajen @60 ml in 200 litre water/acer
INFORMATION REGARDING WEATHER ?,TODAY WEATHER IS NORMAL AND NO CHANCES OF RAINFALL
Information regarding weather of Amritsar?,"Mostly sunny, no chance of rainfall."
information regarding varieties of basmati?,pusa punjab basmati no.3.
information regarding weather of amritsar?,clear weather in next few days.
INFORMATION REGARDING VERITY OF PEGEON PEA ?,"INFORMATION REGARDING VERITY OF PEGEON PEA -PAU 881,AL 15,AL 201."
INFORMATION REGARDING CONTROL OF BLACK BUG IN SUGARCANE ?,SPRAY 375 ML CLOROPYRIFAS IN 400 LITER WATER /ACER
Information regarding weather of Amritsar?,"Mostly clear, no chance of rainfall."
information regarding control of late blite in tomato?,spray of ridomil MZ@500gm in 100 litre water/acer
INFORMATION REGARDING FERTILIZER DOSE IN SUGARCANE?,"I TOLD THE KISAN FERTILIZER DOSE IN SUGARCANE:-NPK-19,19,19 @ 1 LITRE IN 100 LITRES OF WATER PER ACRE."
CERCOSPORA LEAF SPOT PROBLEM IN OKRA,SPRAY BAVISTIN 2G/2LTR OF WATER
INFORMATION REGARDING FOR THE NEW VARIETIE OF PADDY(JHONA) ?,FOR THE NEW VARIETIES OF PADDY(JHONA)-PR-123
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)- PR 123,PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
WHITE FLY CONTROL IN GUAVA,SPRAY SUMICIDIN 20EC 1250ML IN 500LTRS OF WATER
INFORMATION REGARDING FOR WEATHER,WEATHER IS DRY AND THERE ARE NO CHANCES OF RAIN IN NEXT 2 DAYS.
INFORMATION REGARDING FOR THE SEED TREATMENT OF PADDY(JHONA)?,SOAK THE SELECTED SEED IN 10 LITRE OF WATER CONTIANING 5GM EMISAAN & 1 GRAM STREPTOCYCLINE FOR 8 TO 10 HOURS BEFORE SOWING.
INFORMATION REGARDING FUNGICIDE FOR CHILLI ?,INFORMATION REGARDING FUNGICIDE FOR CHILLI: SPRAY 400 GM INDOFIL M 45 IN 150 LITRE OF WATER PER ACRE
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-1 5 TO 30 MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)- PR 123,PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,"
INFORMATION REGARDING THE VARIETIES OF PADDY?,"SUITABLE VARIETIES OF PADDY-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-111 AND BASMATI ARE PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLEAR AND NO CHANCE OF RAIN FOR FEW DAYS.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3,PUSA-1121."
INFORMATION REGARDING TO WEATHER?,SOME CLOUDS AND SOME CHANCES OF RAINFALL TODAY .
information regarding for the kvk contect no of bathinda?,the contect no is 0164-2215619.
INFORMATION REGARDING FOR THE SEED TREATMENT OF PADDY(JHONA)?,SOAK THE SELECTED SEED IN 10 LITRE OF WATER CONTIANING 20GM BAVISTIN & 1 GRAM STREPTOCYCLINE FOR 8 TO 10 HOURS BEFORE SOWING.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER.,cloudy weather some chances of rain next 2 days
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-NARSERY-1MAY AFTER 10 JUNE & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-1 TO 25MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-123(NEW VARIETY-2014), PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
regarding to weather?,cloudy weather some chances of rain next 2 days
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER ?,THERE ARE SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
information regarding the variety of summer squash ?,the variety of summer squash is punjab chappan kaddu 1 .
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SAME CHANCES OF RAINFALL IN NEXT 2 DAYS
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY BUT NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,"FOR THE CONTROL OF APHIDS IN WHEAT CROP,PLS. SPRAY 100ML IMIDACHLOPRIDE OR 80GM THIAMATHOXAM/ACRE IN 150LITRE WATER."
INFORMATION REGARDING WEATHER ?,WEATHER REMAINS CLEAR TODAY.
Information regarding weather condition ?,Partly cloudy and chances of light rainfall.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND no CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING WEATHER ?,THERE ARE SOME CHANCES OF RAINFALL TODAY
Information regarding weather condition ?,Partly cloudy and chances of light rainfall.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING WEATHER CONDITION ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
INFORMATION REGARDING FOR THE CONTROL OF PURPLE BLOTCH DISEASE IN ONION(PYAJ) CROP?,"FOR THE CONTROL OF PURPLE BLOTCH DISEASE IN ONION(PYAJ) CROP,PLS SPRAY 500GM M-45 IN 150LITRE WATER."
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND no CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 200ML TILT/ACRE IN 200LITRE WATER."
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 200ML TILT /ACRE IN 200LITRE WATER. ???? @ ??? ???????? ??? ?? ??? ???? ???? ??? ????? ??????? ???? ."
INFORMATION REGARDING WEATHER ?,THE WEATHER IS EXPECTED TO REMAIN PARTLY CLOUDY AND SAME CHANCE OF RAIN FALL IN NEXT TWO DAYS .
Information regarding weather condition ?,Partly cloudy and chances of light rainfall.
"information regarding fruit droping?
 
 spray 1ml planofix in 4.5 ltr water/plant.",information regarding fruit droping: spray 1ml planofix in 4.5 ltr water/plant.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BRINJAL(BAINGAN)?,"THE SUITABLE VARIETIES OF BRINJAL(BAINGAN) IS -ROUND FRIUTED-PUNJAB NEELAM,MAHADEVA,OBLONG FRIUTED-BH-2,NISHA IMPROVED,LONG FRIUTED -PUNJAB SADA BAHAR,KOKILA,SMALL FRUITED-PUNJAB NAGINA."
INFORMATION REGARDING WEATHER CONDITION?,WEATHER REMAINS CLOUDY AND SOME CHANCE OF RAINFALL TODAY
INFORMATION REGARDING WEATHER ?,WEATHER IS CLoudy AND NO CHANCES OF RAINFALL TODAY.AND TOMORROW THERE ARE SOME CHANCES OF RAINFALL
INFORMATION REGARDING WEATHER?,SOME CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY CHANCE OF LIGHT RAIN FALL TODAY.
INFORMATION REGARDING WEATHER ?,THE WEATHER IS EXPECTED TO REMAIN PARTLY CLOUDY AND SAME CHANCE OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE CONTROL OF KARNAL BUNT DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF KARNAL BUNT DISEASE IN WHEAT CROP,SPRAY PROPICONAZOLE 25% EC(TILT)-200ML OR TEBUCONAZOLE 25%EC(FOLICUR)-200ML IN 200LITRE WATER PER ACRE."
INFORMATION REGARDING WEATHER ?,WEATHER IS CLoudy AND NO CHANCES OF RAINFALL TODAY.AND TOMORROW THERE ARE SOME CHANCES OF RAINFALL
INFORMATION REGARDING FOR THE SOWING TIME OF BRINJAL(BAINGAN)?,"FOR THE SOWING TIME OF BRINJAL(BAINGAN)-FIRST TIME -SOWN-OCTO. & TRANSPLANTED-NOV.,SECOND TIME-SOWN-NOV. & TRANSPLANTED-FEB."
INFORMATION REGARDING WEATHER ?,WEATHER IS CLoudy AND NO CHANCES OF RAINFALL TODAY.AND TOMORROW THERE ARE SOME CHANCES OF RAINFALL
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY CHANCE OF LIGHT RAIN FALL TODAY.
Information regarding weather condition ?,Partly cloudy and chances of light rainfall.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY CHANCE OF LIGHT RAIN FALL TODAY.
INFORMATION REGARDING WEATHER FORCASTING ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER FORCASTING ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER ?,"WEATHER IS CLoudy AND NO CHANCES OF RAINFALL TODAY.AND TOMORROW THERE ARE SOME CHANCES OF RAINFALL
 
 ??? ?????? ???? ??? ??????? ????? ?? ???? ?? ??????? ???? ?? ??? ?? ?????? ???? ? ???? ??? ?? ??????? ?? ??"
INFORMATION REGARDING WEATHER FORCASTING ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING WEATHER FORCASTING ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER FORCASTING ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SQUASH MELON(TINDA)?,"THE SUITABLE VARIETIES OF SQUASH MELON(TINDA) IS -TINDA-48,ARKA TINDA."
WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLoudy AND NO CHANCES OF RAINFALL TODAY.AND TOMORROW THERE ARE SOME CHANCES OF RAINFALL
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING CONTACT NO OF VETERINARY DOCTOR?,"PLEASE CONTACT ON 9988181524, DR NARINDER PAL SINGH."
INFORMATION REGARDING WEATHER FORCASTING ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING THE CONTROL OF FUNGUS IN WHEAT ?,SPRAY TILT @ 200ML MIX IN 200 LITERS OF WATER / ACRE .
information regarding the weather condition ?,weather is cloudy and there are some chances of rainfall TODAY .
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER FORCASTING ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER CONDITION ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING SEED RATE OF PADDY/ACRE?,8 KG SEED/ACRE IS SUFFICIENT.
INFORMATION REGARDING WEATHER FORCASTING ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING CONTROL OF YELLOW RUST IN WHEAT ?,SPRAY TILT @ 200 ML IN 200 LITERS OF WATER/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER ?,"WEATHER IS CLoudy AND NO CHANCES OF RAINFALL TODAY.AND TOMORROW THERE ARE SOME CHANCES OF RAINFALL
 
 ??? ?????? ???? ??? ??????? ????? ?? ???? ?? ??????? ???? ?? ??? ?? ?????? ???? ? ???? ??? ?? ??????? ?? ??"
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING WEATHER CONDITION ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER FORCASTING ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN MOONG CROP?,"FOR THE CONTROL OF TERMITE IN SUGARCANE CROP,PLS APPLY 1LITRE CHLORO.50%EC AFTER MIXING IN 10KG SEND AT THE TIME OF IRRIGATION."
INFORMATION REGARDING FOR THE CONTROL OF GRAM POD BORER & PINK STER BORER IN WHEAT CROP?,"FOR THE CONTROL OF GRAM POD BORER & PINK STER BORER IN WHEAT CROP,SPRAY 800 ML QUINALPHOS 25% EC IN 100 LITRE OF WATER PER ACRE."
INFORMATION REGARDING WEATHER CONDITION?,WEATHER REMAINS CLOUDY AND CHANCE OF A LITTLE RAINFALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 200ML TILT/ACRE IN 200LITRE WATER."
Information regarding how to improve growth in Capsicum?,Spray 1 kg. NPK 00:00:50 in 100 lt. of water per acre.
INFORMATION REGARDING WEATHER ?,SOME CHANCE OF RAINFALL IN NEXT TWO DAYS .
INFORMATION REGARDING WEATHER ?,RAINFALL EXPECTED IN NEXT FEW DAYS.
INFORMATION REGARDING WEATHER ?,"WEATHER REMAINS ALMOST CLOUDY TODAY, CHANCE OF A LITTLE RAINFALL."
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,"""SOME CHANCE OF RAINFALL NEXT TWO DAYS. """
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP?,"FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP,PLS SPRAY 200ML INDOXACARB 15.8%EC(AVANT) IN 100 LITRE WATER OR 50ML CHLORANTRANILIPROLE 18.5%ML(CORAGEN) IN 150LITRE WATER PER ACRE."
Information regarding weather of Amritsar?,Mostly cloudy and chances of light rainfall.
INFORMATION REGARDING WEATHER FORCASTING,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SQUASH MELON(TINDA)?,"THE SUITABLE VARIETIES OF SQUASH MELON(TINDA) IS -TINDA-48,ARKA TINDA."
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY CHANCE OF LIGHT RAIN FALL TODAY.
INFORMATION REGARDING WEATHER FORCASTING,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER FORCASTING,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER TODAY ?,WEATHER REMAINS CLOUDY BUT SAME CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE SOWING TIME OF CAPSICUM(SHIMLA MIRCH)?,CAPSICUM(SHIMLA MIRCH) SEEDS ARE SOWN IN THE NURSERY BED IN THE END OF OCTOBER & TRANSPLANTED IN MID FEBRUARY.
INFORMATION REGARDING FOR THE CONTROL OF TINDA FRUIT & SHOOT BORER?,"FOR THE CONTROL OF TINDA FRUIT & SHOOT BORER,PLS SPRAY 500ML PROFENOPHOSE+100ML DDVP OR 60ML CORAGEN(CHLORANTRANILIPROLE)/ACRE."
INFORMATION REGARDING WEATHER ?,THERE ARE SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"SPRAY PROPICONAZOLE-25EC,TILT OR SHINE@ 200ML/200 LITER WATER PER ACRE FOR CONTROL YELLOW RUST IN WHEAT."
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
INFORMATION REGARDING WEATHER FORCASTING,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE ,SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) MIXED WITH 200 LITER OF WATER / ACRE ."
INFORMATION REGARDING WEATHER ?,"WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
 
 ??? ?????? ???? ? ??????? ????? ??? ???? ?? ?? ??????? ?? ??"
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY CHANCE OF LIGHT RAIN FALL TODAY.
Information regarding weather condition ?,Partly cloudy and chances of light rainfall.
INFORMATION REGARDING WEATHER ?,"WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
 
 ??? ?????? ???? ? ??????? ????? ??? ???? ?? ?? ??????? ?? ??"
INFORMATION REGARDING WEATHER CONDITION?,WEATHER IS CLOUDY AND SOME CHANCE OF LIGHT RAINFALL TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY CHANCE OF LIGHT RAIN FALL TODAY.
INFORMATION REGARDING WEATHER ?,THERE ARE SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER OF AMRITSAR?,MOSTLY CLOUDY ANG CHANCES OF LIGHT RAINFALL.
information regarding for the weather?,weather is cloudy and some chance of raonfall
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY CHANCE OF LIGHT RAIN FALL TODAY.
INFORMATION REGARDING WEATHER ?,THERE ARE SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY CHANCE OF LIGHT RAIN FALL TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER?,SOME CHANCES OF RAINFALL NEXT FEW DAYS
